time,GyroX,GyroY,GyroZ,AccX,AccY,AccZ,GyroX2,GyroY2,GyroZ2,AccX2,AccY2,AccZ2
10,-0.23,-1.05,-1.13,0.02,-0.10,1.14,-0.59,-2.08,-1.59,-0.03,-0.01,0.91
18,-0.56,-2.06,-0.58,0.01,-0.09,1.13,-0.44,-2.63,-1.22,-0.01,-0.01,0.92
27,-0.65,-2.34,-0.29,0.01,-0.08,1.14,-1.10,-3.21,-0.48,-0.02,-0.01,0.91
35,-1.29,-3.14,0.19,0.03,-0.09,1.13,-1.49,-3.35,-0.20,-0.03,-0.01,0.90
44,-1.13,-3.13,0.52,0.03,-0.09,1.10,-1.55,-3.35,0.09,-0.02,-0.01,0.91
53,-1.33,-2.88,0.58,0.03,-0.11,1.09,-1.36,-3.15,0.04,-0.01,-0.01,0.89
61,-1.40,-2.53,0.49,0.03,-0.11,1.08,-1.27,-2.29,-0.19,-0.01,-0.03,0.89
70,-1.08,-1.39,0.41,0.03,-0.11,1.05,-0.31,-1.10,-0.26,-0.02,-0.03,0.90
78,-0.01,-0.33,0.31,0.03,-0.12,1.07,0.47,-0.02,-0.56,-0.01,-0.02,0.88
88,0.27,0.89,0.17,0.03,-0.12,1.07,0.70,0.90,-0.89,-0.02,-0.02,0.90
96,0.38,1.58,-0.08,0.03,-0.12,1.08,0.74,1.36,-1.21,-0.03,-0.01,0.89
104,0.11,2.07,-0.11,0.02,-0.11,1.10,0.22,1.35,-1.34,-0.03,-0.00,0.91
113,-0.27,1.54,-0.04,0.02,-0.09,1.13,-0.08,0.86,-1.06,-0.02,0.01,0.92
121,-0.35,0.79,0.18,0.02,-0.08,1.14,-0.05,0.22,-0.44,-0.03,0.01,0.92
130,-0.31,0.25,0.97,0.02,-0.08,1.15,0.18,-0.55,0.33,-0.03,0.00,0.92
139,-0.26,-0.67,1.24,0.02,-0.09,1.14,-0.94,-1.16,0.60,-0.03,0.01,0.92
147,-1.63,-1.46,1.50,0.02,-0.09,1.13,-1.92,-1.68,0.49,-0.03,-0.00,0.91
